intensity,count
0,63777
1,1099
2,1086
3,1141
4,1134
5,1172
6,1270
7,1251
8,1320
9,1315
10,1393
11,1462
12,1497
13,1607
14,1607
15,1683
16,1795
17,1919
18,1905
19,1955
20,2096
21,2081
22,2200
23,2220
24,2246
25,2271
26,2310
27,2360
28,2341
29,2276
30,2317
31,2310
32,2209
33,2180
34,2085
35,2140
36,2070
37,2044
38,1909
39,1861
40,1802
41,1768
42,1698
43,1612
44,1617
45,1572
46,1584
47,1507
48,1550
49,1539
50,1504
51,1550
52,1551
53,1584
54,1616
55,1534
56,1489
57,1603
58,1539
59,1595
60,1469
61,1571
62,1535
63,1524
64,1492
65,1534
66,1475
67,1515
68,1545
69,1518
70,1476
71,1563
72,1557
73,1512
74,1475
75,1511
76,1457
77,1523
78,1491
79,1506
80,1528
81,1498
82,1583
83,1539
84,1566
85,1614
86,1641
87,1720
88,1555
89,1630
90,1661
91,1584
92,1598
93,1639
94,1744
95,1712
96,1762
97,1648
98,1693
99,1796
100,1696
101,1681
102,1677
103,1630
104,1596
105,1652
106,1619
107,1548
108,1685
109,1605
110,1529
111,1554
112,1551
113,1509
114,1559
115,1568
116,1539
117,1505
118,1497
119,1501
120,1403
121,1439
122,1491
123,1449
124,1435
125,1442
126,1404
127,1369
128,1409
129,1273
130,1161
131,1213
132,1232
133,1181
134,1129
135,1142
136,1084
137,1053
138,1040
139,1026
140,1070
141,975
142,992
143,1116
144,990
145,936
146,980
147,938
148,946
149,893
150,921
151,928
152,882
153,746
154,692
155,658
156,602
157,534
158,483
159,329
160,338
161,279
162,244
163,238
164,238
165,214
166,151
167,132
168,122
169,118
170,82
171,93
172,75
173,75
174,58
175,55
176,52
177,30
178,31
179,31
180,31
181,28
182,20
183,16
184,13
185,22
186,7
187,12
188,14
189,6
190,9
191,3
192,4
193,3
194,8
195,2
196,4
197,2
198,3
199,2
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
