intensity,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,51
51,336
52,520
53,614
54,790
55,842
56,1014
57,1069
58,1236
59,1172
60,1266
61,1294
62,1311
63,1308
64,1471
65,1630
66,1712
67,1825
68,1835
69,1767
70,1774
71,1819
72,1799
73,1692
74,1667
75,1635
76,1603
77,1603
78,1617
79,1524
80,1532
81,1419
82,1349
83,1333
84,1266
85,1224
86,1129
87,1133
88,1176
89,1094
90,1097
91,1027
92,995
93,1047
94,1031
95,986
96,1025
97,1004
98,1026
99,1037
100,1051
101,1099
102,1086
103,1141
104,1134
105,1172
106,1270
107,1251
108,1320
109,1315
110,1393
111,1462
112,1497
113,1607
114,1607
115,1683
116,1795
117,1919
118,1905
119,1955
120,2096
121,2081
122,2200
123,2220
124,2246
125,2271
126,2310
127,2360
128,2341
129,2276
130,2317
131,2310
132,2209
133,2180
134,2085
135,2140
136,2070
137,2044
138,1909
139,1861
140,1802
141,1768
142,1698
143,1612
144,1617
145,1572
146,1584
147,1507
148,1550
149,1539
150,1504
151,1550
152,1551
153,1584
154,1616
155,1534
156,1489
157,1603
158,1539
159,1595
160,1469
161,1571
162,1535
163,1524
164,1492
165,1534
166,1475
167,1515
168,1545
169,1518
170,1476
171,1563
172,1557
173,1512
174,1475
175,1511
176,1457
177,1523
178,1491
179,1506
180,1528
181,1498
182,1583
183,1539
184,1566
185,1614
186,1641
187,1720
188,1555
189,1630
190,1661
191,1584
192,1598
193,1639
194,1744
195,1712
196,1762
197,1648
198,1693
199,1796
200,1696
201,1681
202,1677
203,1630
204,1596
205,1652
206,1619
207,1548
208,1685
209,1605
210,1529
211,1554
212,1551
213,1509
214,1559
215,1568
216,1539
217,1505
218,1497
219,1501
220,1403
221,1439
222,1491
223,1449
224,1435
225,1442
226,1404
227,1369
228,1409
229,1273
230,1161
231,1213
232,1232
233,1181
234,1129
235,1142
236,1084
237,1053
238,1040
239,1026
240,1070
241,975
242,992
243,1116
244,990
245,936
246,980
247,938
248,946
249,893
250,921
251,928
252,882
253,746
254,692
255,5471
