intensity,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,51
65,856
66,1404
67,1856
68,2305
69,2438
70,2605
71,2779
72,3342
73,3660
74,3541
75,3618
76,3359
77,3238
78,3220
79,3056
80,2768
81,2599
82,2353
83,2309
84,2191
85,2022
86,2078
87,2011
88,2030
89,2088
90,2185
91,2275
92,2442
93,2571
94,2708
95,2959
96,3214
97,3478
98,3824
99,4051
100,4281
101,4466
102,4581
103,4701
104,4593
105,4519
106,4265
107,4210
108,3953
109,3663
110,3466
111,3229
112,3156
113,3057
114,3043
115,3101
116,3200
117,3023
118,3142
119,3064
120,3106
121,3016
122,3009
123,3060
124,2994
125,3120
126,2987
127,2968
128,3014
129,3034
130,3081
131,3105
132,3255
133,3275
134,3291
135,3182
136,3383
137,3474
138,3341
139,3492
140,3358
141,3226
142,3271
143,3233
144,3134
145,3105
146,3068
147,3107
148,3002
149,2904
150,2930
151,2884
152,2846
153,2778
154,2434
155,2445
156,2310
157,2226
158,2093
159,2096
160,1967
161,2106
162,1916
163,1884
164,1814
165,1810
166,1438
167,1260
168,1017
169,667
170,523
171,476
172,365
173,254
174,200
175,168
176,133
177,107
178,61
179,62
180,48
181,29
182,29
183,26
184,15
185,7
186,11
187,6
188,5
189,2
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
