intensity,count
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,3
8,2
9,4
10,2
11,8
12,3
13,4
14,3
15,9
16,6
17,14
18,12
19,7
20,22
21,13
22,16
23,20
24,28
25,31
26,31
27,31
28,30
29,52
30,55
31,58
32,75
33,75
34,93
35,82
36,118
37,122
38,132
39,151
40,214
41,238
42,238
43,244
44,279
45,338
46,329
47,483
48,534
49,602
50,658
51,692
52,746
53,882
54,928
55,921
56,893
57,946
58,938
59,980
60,936
61,990
62,1116
63,992
64,975
65,1070
66,1026
67,1040
68,1053
69,1084
70,1142
71,1129
72,1181
73,1232
74,1213
75,1161
76,1273
77,1409
78,1369
79,1404
80,1442
81,1435
82,1449
83,1491
84,1439
85,1403
86,1501
87,1497
88,1505
89,1539
90,1568
91,1559
92,1509
93,1551
94,1554
95,1529
96,1605
97,1685
98,1548
99,1619
100,1652
101,1596
102,1630
103,1677
104,1681
105,1696
106,1796
107,1693
108,1648
109,1762
110,1712
111,1744
112,1639
113,1598
114,1584
115,1661
116,1630
117,1555
118,1720
119,1641
120,1614
121,1566
122,1539
123,1583
124,1498
125,1528
126,1506
127,1491
128,1523
129,1457
130,1511
131,1475
132,1512
133,1557
134,1563
135,1476
136,1518
137,1545
138,1515
139,1475
140,1534
141,1492
142,1524
143,1535
144,1571
145,1469
146,1595
147,1539
148,1603
149,1489
150,1534
151,1616
152,1584
153,1551
154,1550
155,1504
156,1539
157,1550
158,1507
159,1584
160,1572
161,1617
162,1612
163,1698
164,1768
165,1802
166,1861
167,1909
168,2044
169,2070
170,2140
171,2085
172,2180
173,2209
174,2310
175,2317
176,2276
177,2341
178,2360
179,2310
180,2271
181,2246
182,2220
183,2200
184,2081
185,2096
186,1955
187,1905
188,1919
189,1795
190,1683
191,1607
192,1607
193,1497
194,1462
195,1393
196,1315
197,1320
198,1251
199,1270
200,1172
201,1134
202,1141
203,1086
204,1099
205,1051
206,1037
207,1026
208,1004
209,1025
210,986
211,1031
212,1047
213,995
214,1027
215,1097
216,1094
217,1176
218,1133
219,1129
220,1224
221,1266
222,1333
223,1349
224,1419
225,1532
226,1524
227,1617
228,1603
229,1603
230,1635
231,1667
232,1692
233,1799
234,1819
235,1774
236,1767
237,1835
238,1825
239,1712
240,1630
241,1471
242,1308
243,1311
244,1294
245,1266
246,1172
247,1236
248,1069
249,1014
250,842
251,790
252,614
253,520
254,336
255,51
