intensity,count
0,51
1,336
2,520
3,614
4,790
5,842
6,1014
7,1069
8,1236
9,1172
10,1266
11,1294
12,1311
13,1308
14,1471
15,1630
16,1712
17,1825
18,1835
19,1767
20,1774
21,1819
22,1799
23,1692
24,1667
25,1635
26,1603
27,1603
28,1617
29,1524
30,1532
31,1419
32,1349
33,1333
34,1266
35,1224
36,1129
37,1133
38,1176
39,1094
40,1097
41,1027
42,995
43,1047
44,1031
45,986
46,1025
47,1004
48,1026
49,1037
50,1051
51,1099
52,1086
53,1141
54,1134
55,1172
56,1270
57,1251
58,1320
59,1315
60,1393
61,1462
62,1497
63,1607
64,1607
65,1683
66,1795
67,1919
68,1905
69,1955
70,2096
71,2081
72,2200
73,2220
74,2246
75,2271
76,2310
77,2360
78,2341
79,2276
80,2317
81,2310
82,2209
83,2180
84,2085
85,2140
86,2070
87,2044
88,1909
89,1861
90,1802
91,1768
92,1698
93,1612
94,1617
95,1572
96,1584
97,1507
98,1550
99,1539
100,1504
101,1550
102,1551
103,1584
104,1616
105,1534
106,1489
107,1603
108,1539
109,1595
110,1469
111,1571
112,1535
113,1524
114,1492
115,1534
116,1475
117,1515
118,1545
119,1518
120,1476
121,1563
122,1557
123,1512
124,1475
125,1511
126,1457
127,1523
128,1491
129,1506
130,1528
131,1498
132,1583
133,1539
134,1566
135,1614
136,1641
137,1720
138,1555
139,1630
140,1661
141,1584
142,1598
143,1639
144,1744
145,1712
146,1762
147,1648
148,1693
149,1796
150,1696
151,1681
152,1677
153,1630
154,1596
155,1652
156,1619
157,1548
158,1685
159,1605
160,1529
161,1554
162,1551
163,1509
164,1559
165,1568
166,1539
167,1505
168,1497
169,1501
170,1403
171,1439
172,1491
173,1449
174,1435
175,1442
176,1404
177,1369
178,1409
179,1273
180,1161
181,1213
182,1232
183,1181
184,1129
185,1142
186,1084
187,1053
188,1040
189,1026
190,1070
191,975
192,992
193,1116
194,990
195,936
196,980
197,938
198,946
199,893
200,921
201,928
202,882
203,746
204,692
205,658
206,602
207,534
208,483
209,329
210,338
211,279
212,244
213,238
214,238
215,214
216,151
217,132
218,122
219,118
220,82
221,93
222,75
223,75
224,58
225,55
226,52
227,30
228,31
229,31
230,31
231,28
232,20
233,16
234,13
235,22
236,7
237,12
238,14
239,6
240,9
241,3
242,4
243,3
244,8
245,2
246,4
247,2
248,3
249,2
250,0
251,0
252,0
253,0
254,0
255,0
