intensidade,quantidade
0, 171
1, 416
2, 628
3, 643
4, 829
5, 939
6, 1040
7, 1156
8, 1248
9, 1197
10, 1264
11, 1281
12, 1356
13, 1367
14, 1584
15, 1626
16, 1796
17, 1831
18, 1822
19, 1793
20, 1774
21, 1788
22, 1707
23, 1719
24, 1661
25, 1623
26, 1593
27, 1585
28, 1597
29, 1554
30, 1462
31, 1393
32, 1335
33, 1300
34, 1234
35, 1189
36, 1139
37, 1128
38, 1134
39, 1098
40, 1049
41, 1025
42, 1018
43, 1030
44, 1007
45, 1020
46, 1018
47, 990
48, 1046
49, 1035
50, 1043
51, 1115
52, 1129
53, 1089
54, 1189
55, 1226
56, 1254
57, 1289
58, 1319
59, 1336
60, 1445
61, 1439
62, 1567
63, 1599
64, 1626
65, 1757
66, 1907
67, 1884
68, 1928
69, 2028
70, 2101
71, 2127
72, 2180
73, 2255
74, 2230
75, 2259
76, 2376
77, 2407
78, 2253
79, 2278
80, 2399
81, 2203
82, 2226
83, 2048
84, 2214
85, 2078
86, 2038
87, 1977
88, 1910
89, 1770
90, 1825
91, 1730
92, 1670
93, 1598
94, 1618
95, 1595
96, 1517
97, 1561
98, 1507
99, 1550
100, 1520
101, 1517
102, 1621
103, 1559
104, 1595
105, 1517
106, 1494
107, 1569
108, 1633
109, 1500
110, 1558
111, 1536
112, 1515
113, 1537
114, 1464
115, 1521
116, 1497
117, 1537
118, 1502
119, 1500
120, 1575
121, 1522
122, 1552
123, 1496
124, 1471
125, 1507
126, 1477
127, 1524
128, 1493
129, 1493
130, 1549
131, 1497
132, 1571
133, 1594
134, 1520
135, 1663
136, 1699
137, 1606
138, 1610
139, 1630
140, 1613
141, 1631
142, 1591
143, 1674
144, 1746
145, 1746
146, 1684
147, 1685
148, 1766
149, 1740
150, 1686
151, 1689
152, 1644
153, 1636
154, 1606
155, 1641
156, 1589
157, 1610
158, 1623
159, 1598
160, 1530
161, 1540
162, 1533
163, 1522
164, 1540
165, 1617
166, 1512
167, 1483
168, 1532
169, 1410
170, 1463
171, 1440
172, 1492
173, 1429
174, 1427
175, 1453
176, 1382
177, 1384
178, 1320
179, 1240
180, 1186
181, 1221
182, 1242
183, 1123
184, 1156
185, 1106
186, 1075
187, 1040
188, 1062
189, 1052
190, 988
191, 982
192, 1036
193, 1083
194, 959
195, 961
196, 948
197, 936
198, 912
199, 935
200, 969
201, 873
202, 821
203, 718
204, 631
205, 607
206, 596
207, 522
208, 395
209, 322
210, 308
211, 252
212, 246
213, 229
214, 246
215, 175
216, 143
217, 116
218, 126
219, 91
220, 84
221, 102
222, 65
223, 71
224, 57
225, 50
226, 39
227, 35
228, 26
229, 33
230, 30
231, 25
232, 16
233, 16
234, 17
235, 15
236, 8
237, 16
238, 7
239, 8
240, 7
241, 2
242, 5
243, 4
244, 6
245, 4
246, 1
247, 2
248, 5
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
