intensidade,quantidade
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 5
8, 2
9, 1
10, 4
11, 6
12, 4
13, 5
14, 2
15, 7
16, 8
17, 7
18, 16
19, 8
20, 15
21, 17
22, 16
23, 16
24, 25
25, 30
26, 33
27, 26
28, 35
29, 39
30, 50
31, 57
32, 71
33, 65
34, 102
35, 84
36, 91
37, 126
38, 116
39, 143
40, 175
41, 246
42, 229
43, 246
44, 252
45, 308
46, 322
47, 395
48, 522
49, 596
50, 607
51, 631
52, 718
53, 821
54, 873
55, 969
56, 935
57, 912
58, 936
59, 948
60, 961
61, 959
62, 1083
63, 1036
64, 982
65, 988
66, 1052
67, 1062
68, 1040
69, 1075
70, 1106
71, 1156
72, 1123
73, 1242
74, 1221
75, 1186
76, 1240
77, 1320
78, 1384
79, 1382
80, 1453
81, 1427
82, 1429
83, 1492
84, 1440
85, 1463
86, 1410
87, 1532
88, 1483
89, 1512
90, 1617
91, 1540
92, 1522
93, 1533
94, 1540
95, 1530
96, 1598
97, 1623
98, 1610
99, 1589
100, 1641
101, 1606
102, 1636
103, 1644
104, 1689
105, 1686
106, 1740
107, 1766
108, 1685
109, 1684
110, 1746
111, 1746
112, 1674
113, 1591
114, 1631
115, 1613
116, 1630
117, 1610
118, 1606
119, 1699
120, 1663
121, 1520
122, 1594
123, 1571
124, 1497
125, 1549
126, 1493
127, 1493
128, 1524
129, 1477
130, 1507
131, 1471
132, 1496
133, 1552
134, 1522
135, 1575
136, 1500
137, 1502
138, 1537
139, 1497
140, 1521
141, 1464
142, 1537
143, 1515
144, 1536
145, 1558
146, 1500
147, 1633
148, 1569
149, 1494
150, 1517
151, 1595
152, 1559
153, 1621
154, 1517
155, 1520
156, 1550
157, 1507
158, 1561
159, 1517
160, 1595
161, 1618
162, 1598
163, 1670
164, 1730
165, 1825
166, 1770
167, 1910
168, 1977
169, 2038
170, 2078
171, 2214
172, 2048
173, 2226
174, 2203
175, 2399
176, 2278
177, 2253
178, 2407
179, 2376
180, 2259
181, 2230
182, 2255
183, 2180
184, 2127
185, 2101
186, 2028
187, 1928
188, 1884
189, 1907
190, 1757
191, 1626
192, 1599
193, 1567
194, 1439
195, 1445
196, 1336
197, 1319
198, 1289
199, 1254
200, 1226
201, 1189
202, 1089
203, 1129
204, 1115
205, 1043
206, 1035
207, 1046
208, 990
209, 1018
210, 1020
211, 1007
212, 1030
213, 1018
214, 1025
215, 1049
216, 1098
217, 1134
218, 1128
219, 1139
220, 1189
221, 1234
222, 1300
223, 1335
224, 1393
225, 1462
226, 1554
227, 1597
228, 1585
229, 1593
230, 1623
231, 1661
232, 1719
233, 1707
234, 1788
235, 1774
236, 1793
237, 1822
238, 1831
239, 1796
240, 1626
241, 1584
242, 1367
243, 1356
244, 1281
245, 1264
246, 1197
247, 1248
248, 1156
249, 1040
250, 939
251, 829
252, 643
253, 628
254, 416
255, 171
