response,border,pixels,min,max,mean,negatives,zeros,positives,outside_8bit
identity,replicate,306240,0.0000,249.0000,103.2137,0,51,306189,0
mean_3x3,replicate,306240,0.6667,246.4444,103.2137,0,0,306240,0
mean_3x3,copy,306240,0.0000,246.4444,103.2116,0,1,306239,0
mean_5x5,replicate,306240,1.2400,240.6400,103.2124,0,0,306240,0
weighted_mean_3x3,replicate,306240,0.5000,246.8750,103.2137,0,0,306240,0
laplacian,replicate,306240,-415.0000,345.0000,0.0000,143851,13282,149107,143879
sobel_gx,replicate,306240,-782.0000,739.0000,-0.1260,149128,5107,152005,152789
sobel_gy,replicate,306240,-934.0000,833.0000,-0.7882,153172,5219,147849,157465
sobel_l1,replicate,306240,0.0000,1230.0000,106.2265,0,848,305392,29204
sobel_l2,replicate,306240,0.0000,934.2591,83.9817,0,848,305392,18339
impulse_mean_3x3,replicate,256,0.0000,28.3333,0.9961,0,247,9,0
step_vertical_gx,replicate,256,0.0000,1020.0000,127.5000,0,224,32,32
step_vertical_gy,replicate,256,0.0000,0.0000,0.0000,0,256,0,0
step_horizontal_gx,replicate,256,0.0000,0.0000,0.0000,0,256,0,0
step_horizontal_gy,replicate,256,0.0000,1020.0000,127.5000,0,224,32,32
step_vertical_laplacian,replicate,256,-255.0000,255.0000,0.0000,16,224,16,16
shapes_mean_3,copy,256,0.0000,255.0000,57.8906,0,135,121,0
shapes_mean_3,replicate,256,0.0000,255.0000,57.8906,0,133,123,0
shapes_mean_5,copy,256,0.0000,255.0000,69.7664,0,88,168,0
shapes_mean_5,replicate,256,0.0000,204.0000,57.8906,0,80,176,0
